game_id,date,winner,loser,pts_winner,pts_loser
202410220BOS,2024-10-22,Boston,New York,132,109
202410220LAL,2024-10-22,LA Lakers,Minnesota,110,103
202410230ATL,2024-10-23,Atlanta,Brooklyn,120,116
202410230DET,2024-10-23,Indiana,Detroit,115,109
202410230HOU,2024-10-23,Charlotte,Houston,110,105
202410230LAC,2024-10-23,Phoenix,LA Clippers,116,113
202410230MIA,2024-10-23,Orlando,Miami,116,97
202410230NOP,2024-10-23,New Orleans,Chicago,123,111
202410230PHI,2024-10-23,Milwaukee,Philadelphia,124,109
202410230POR,2024-10-23,Golden State,Portland,140,104
202410230TOR,2024-10-23,Cleveland,Toronto,136,106
202410230UTA,2024-10-23,Memphis,Utah,126,124
202410240DAL,2024-10-24,Dallas,San Antonio,120,109
202410240DEN,2024-10-24,Oklahoma City,Denver,102,87
202410240SAC,2024-10-24,Minnesota,Sacramento,117,115
202410240WAS,2024-10-24,Boston,Washington,122,102
202410250ATL,2024-10-25,Atlanta,Charlotte,125,120
202410250CLE,2024-10-25,Cleveland,Detroit,113,101
202410250HOU,2024-10-25,Houston,Memphis,128,108
202410250LAL,2024-10-25,LA Lakers,Phoenix,123,116
202410250MIL,2024-10-25,Chicago,Milwaukee,133,122
202410250NYK,2024-10-25,New York,Indiana,123,98
202410250ORL,2024-10-25,Orlando,Brooklyn,116,101
202410250POR,2024-10-25,New Orleans,Portland,105,103
202410250TOR,2024-10-25,Toronto,Philadelphia,115,107
202410250UTA,2024-10-25,Golden State,Utah,127,86
202410260CHI,2024-10-26,Oklahoma City,Chicago,114,95
202410260CHO,2024-10-26,Miami,Charlotte,114,106
202410260DEN,2024-10-26,LA Clippers,Denver,109,104
202410260DET,2024-10-26,Boston,Detroit,124,118
202410260LAL,2024-10-26,LA Lakers,Sacramento,131,127
202410260MEM,2024-10-26,Memphis,Orlando,124,111
202410260MIN,2024-10-26,Minnesota,Toronto,112,101
202410260PHO,2024-10-26,Phoenix,Dallas,114,102
202410260SAS,2024-10-26,San Antonio,Houston,109,106
202410260WAS,2024-10-26,Cleveland,Washington,135,116
202410270BRK,2024-10-27,Brooklyn,Milwaukee,115,102
202410270GSW,2024-10-27,LA Clippers,Golden State,112,104
202410270IND,2024-10-27,Philadelphia,Indiana,118,114
202410270OKC,2024-10-27,Oklahoma City,Atlanta,128,104
202410270POR,2024-10-27,Portland,New Orleans,125,103
202410280ATL,2024-10-28,Washington,Atlanta,121,119
202410280BOS,2024-10-28,Boston,Milwaukee,119,108
202410280DAL,2024-10-28,Dallas,Utah,110,102
202410280MEM,2024-10-28,Chicago,Memphis,126,123
202410280MIA,2024-10-28,Miami,Detroit,106,98
202410280NYK,2024-10-28,Cleveland,New York,110,104
202410280ORL,2024-10-28,Orlando,Indiana,119,115
202410280PHO,2024-10-28,Phoenix,LA Lakers,109,105
202410280SAC,2024-10-28,Sacramento,Portland,111,98
202410280SAS,2024-10-28,Houston,San Antonio,106,101
202410280TOR,2024-10-28,Denver,Toronto,127,125
202410290BRK,2024-10-29,Denver,Brooklyn,144,139
202410290GSW,2024-10-29,Golden State,New Orleans,124,106
202410290MIN,2024-10-29,Dallas,Minnesota,120,114
202410290UTA,2024-10-29,Sacramento,Utah,113,96
202410300CHI,2024-10-30,Chicago,Orlando,102,99
202410300CHO,2024-10-30,Charlotte,Toronto,138,133
202410300CLE,2024-10-30,Cleveland,LA Lakers,134,110
202410300GSW,2024-10-30,Golden State,New Orleans,104,89
202410300IND,2024-10-30,Indiana,Boston,135,132
202410300LAC,2024-10-30,Portland,LA Clippers,106,105
202410300MEM,2024-10-30,Brooklyn,Memphis,119,106
202410300MIA,2024-10-30,New York,Miami,116,107
202410300OKC,2024-10-30,Oklahoma City,San Antonio,105,93
202410300PHI,2024-10-30,Detroit,Philadelphia,105,95
202410300WAS,2024-10-30,Washington,Atlanta,133,120
202410310DAL,2024-10-31,Houston,Dallas,108,102
202410310LAC,2024-10-31,Phoenix,LA Clippers,125,119
202410310MEM,2024-10-31,Memphis,Milwaukee,122,99
202410310UTA,2024-10-31,San Antonio,Utah,106,88
202411010ATL,2024-11-01,Sacramento,Atlanta,123,115
202411010BRK,2024-11-01,Brooklyn,Chicago,120,112
202411010CHO,2024-11-01,Boston,Charlotte,124,109
202411010CLE,2024-11-01,Cleveland,Orlando,120,109
202411010DET,2024-11-01,New York,Detroit,128,98
202411010MIN,2024-11-01,Minnesota,Denver,119,116
202411010NOP,2024-11-01,New Orleans,Indiana,125,118
202411010POR,2024-11-01,Oklahoma City,Portland,137,114
202411010TOR,2024-11-01,LA Lakers,Toronto,131,125
202411020CHO,2024-11-02,Boston,Charlotte,113,103
202411020DEN,2024-11-02,Denver,Utah,129,103
202411020HOU,2024-11-02,Golden State,Houston,127,121
202411020LAC,2024-11-02,Oklahoma City,LA Clippers,105,92
202411020MIL,2024-11-02,Cleveland,Milwaukee,114,113
202411020PHI,2024-11-02,Memphis,Philadelphia,124,107
202411020PHO,2024-11-02,Phoenix,Portland,103,97
202411020SAS,2024-11-02,San Antonio,Minnesota,113,103
202411020TOR,2024-11-02,Toronto,Sacramento,131,128
202411020WAS,2024-11-02,Miami,Washington,118,98
202411030BRK,2024-11-03,Detroit,Brooklyn,106,92
202411030DAL,2024-11-03,Dallas,Orlando,108,85
202411030NOP,2024-11-03,Atlanta,New Orleans,126,111
202411040ATL,2024-11-04,Boston,Atlanta,123,93
202411040BRK,2024-11-04,Brooklyn,Memphis,106,104
202411040CHI,2024-11-04,Utah,Chicago,135,126
202411040CLE,2024-11-04,Cleveland,Milwaukee,116,114
202411040DAL,2024-11-04,Indiana,Dallas,134,127
202411040DEN,2024-11-04,Denver,Toronto,121,119
202411040DET,2024-11-04,Detroit,LA Lakers,115,103
202411040HOU,2024-11-04,Houston,New York,109,97
202411040LAC,2024-11-04,LA Clippers,San Antonio,113,104
202411040MIA,2024-11-04,Sacramento,Miami,111,110
202411040MIN,2024-11-04,Minnesota,Charlotte,114,93
202411040NOP,2024-11-04,Portland,New Orleans,118,100
202411040OKC,2024-11-04,Oklahoma City,Orlando,102,86
202411040PHO,2024-11-04,Phoenix,Philadelphia,118,116
202411040WAS,2024-11-04,Golden State,Washington,125,112
202411060ATL,2024-11-06,Atlanta,New York,121,116
202411060BOS,2024-11-06,Golden State,Boston,118,112
202411060CHO,2024-11-06,Charlotte,Detroit,108,107
202411060DAL,2024-11-06,Dallas,Chicago,119,99
202411060DEN,2024-11-06,Denver,Oklahoma City,124,122
202411060HOU,2024-11-06,Houston,San Antonio,127,100
202411060IND,2024-11-06,Indiana,Orlando,118,111
202411060LAC,2024-11-06,LA Clippers,Philadelphia,110,98
202411060MEM,2024-11-06,Memphis,LA Lakers,131,114
202411060NOP,2024-11-06,Cleveland,New Orleans,131,122
202411060PHO,2024-11-06,Phoenix,Miami,115,112
202411060SAC,2024-11-06,Sacramento,Toronto,122,107
202411070CHI,2024-11-07,Minnesota,Chicago,135,119
202411070MIL,2024-11-07,Milwaukee,Utah,123,100
202411070SAS,2024-11-07,San Antonio,Portland,118,105
202411080BOS,2024-11-08,Boston,Brooklyn,108,104
202411080CHO,2024-11-08,Charlotte,Indiana,103,83
202411080CLE,2024-11-08,Cleveland,Golden State,136,117
202411080DAL,2024-11-08,Phoenix,Dallas,114,113
202411080DEN,2024-11-08,Denver,Miami,135,122
202411080DET,2024-11-08,Detroit,Atlanta,122,121
202411080LAL,2024-11-08,LA Lakers,Philadelphia,116,106
202411080MEM,2024-11-08,Memphis,Washington,128,104
202411080MIN,2024-11-08,Minnesota,Portland,127,102
202411080NYK,2024-11-08,New York,Milwaukee,116,94
202411080OKC,2024-11-08,Oklahoma City,Houston,126,107
202411080ORL,2024-11-08,Orlando,New Orleans,115,88
202411080SAC,2024-11-08,LA Clippers,Sacramento,107,98
202411090ATL,2024-11-09,Chicago,Atlanta,125,113
202411090CLE,2024-11-09,Cleveland,Brooklyn,105,100
202411090LAC,2024-11-09,LA Clippers,Toronto,105,103
202411090SAS,2024-11-09,Utah,San Antonio,111,110
