name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,start,win,game_id,fanta_score,fanta_value,fanta_gain
Mikal Bridges,34.0,7.0,13.0,0.538,2.0,7.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,16.0,9.7,-33.0,1,0,202410220BOS,11.5,12.225,-0.27499999999999997
Cameron Payne,20.0,5.0,10.0,0.5,1.0,4.0,0.25,0.0,0.0,,1.0,2.0,3.0,4.0,1.0,0.0,1.0,3.0,11.0,8.9,0.0,0,0,202410220BOS,15.25,5.63375,0.13375000000000004
Jrue Holiday,30.0,7.0,9.0,0.778,4.0,6.0,0.667,0.0,0.0,,2.0,2.0,4.0,4.0,1.0,0.0,0.0,2.0,18.0,19.5,23.0,1,1,202410220BOS,34.65,13.75875,0.25875000000000004
OG Anunoby,34.0,1.0,7.0,0.143,0.0,4.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,0.0,3.0,4.0,2.9,-21.0,1,0,202410220BOS,10.0,8.845,-0.15499999999999997
Jalen Brunson,24.0,9.0,14.0,0.643,1.0,2.0,0.5,3.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,3.0,22.0,12.3,-23.0,1,0,202410220BOS,16.0,15.2025,-0.2975
Josh Hart,24.0,4.0,6.0,0.667,0.0,2.0,0.0,4.0,6.0,0.667,1.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,12.0,11.3,-23.0,1,0,202410220BOS,16.25,10.91125,-0.08875
Ariel Hukporti,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9,9.0,0,0,202410220BOS,5.5,4.9125,-0.08749999999999997
Tyler Kolek,5.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,7.0,0,0,202410220BOS,-1.0,4.75,-0.24999999999999997
Karl-Anthony Towns,23.0,5.0,9.0,0.556,1.0,2.0,0.5,1.0,1.0,1.0,0.0,7.0,7.0,3.0,0.0,0.0,0.0,1.0,12.0,11.5,-18.0,1,0,202410220BOS,20.5,16.27,-0.22999999999999987
Jericho Sims,24.0,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,3.0,6.0,9.0,1.0,0.0,2.0,1.0,0.0,4.0,7.7,-5.0,0,0,202410220BOS,15.75,4.69125,0.19125000000000006
Miles McBride,25.0,8.0,10.0,0.8,4.0,5.0,0.8,2.0,3.0,0.667,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,22.0,17.8,-18.0,0,0,202410220BOS,24.5,5.3875,0.38750000000000007
Jacob Toppin,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,0,0,202410220BOS,-1.0,4.0,-0.205
Neemias Queta,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,0.0,0,1,202410220BOS,0.0,4.8705,-0.22949999999999998
Pacome Dadiet,13.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.2,10.0,0,0,202410220BOS,2.0,4.3475,-0.15249999999999997
Sam Hauser,24.0,4.0,10.0,0.4,2.0,7.0,0.286,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,0.0,2.0,10.0,6.4,6.0,0,1,202410220BOS,11.2875,6.0121875,0.012187499999999962
Jayson Tatum,30.0,14.0,18.0,0.778,8.0,11.0,0.727,1.0,2.0,0.5,0.0,4.0,4.0,10.0,1.0,1.0,1.0,1.0,37.0,38.1,26.0,1,1,202410220BOS,66.675,19.811875,0.8118750000000001
Mikal Bridges,34.0,7.0,13.0,0.538,2.0,7.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,16.0,9.7,-33.0,1,0,202410220BOS,11.5,11.962375,-0.26262499999999994
Payton Pritchard,24.0,1.0,10.0,0.1,1.0,9.0,0.111,0.0,0.0,,1.0,3.0,4.0,4.0,0.0,0.0,1.0,2.0,3.0,-1.0,7.0,0,1,202410220BOS,2.8875,5.8021875,-0.1978125
Jordan Walsh,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0,1,202410220BOS,0.525,4.0,-0.166875
Derrick White,26.0,8.0,13.0,0.615,6.0,10.0,0.6,2.0,2.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,24.0,22.4,21.0,1,1,202410220BOS,37.275,11.914375,0.41437500000000005
Jaylen Brown,29.0,7.0,18.0,0.389,5.0,9.0,0.556,4.0,4.0,1.0,2.0,5.0,7.0,1.0,1.0,0.0,1.0,3.0,23.0,15.6,23.0,1,1,202410220BOS,28.35,15.03375,0.03375000000000017
Xavier Tillman Sr.,17.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,,3.0,4.0,7.0,2.0,0.0,0.0,0.0,1.0,2.0,2.5,-3.0,0,1,202410220BOS,8.137500000000001,5.9334375,-0.06656249999999997
Baylor Scheierman,,,,,,,,,,,,,,,,,,,,,,0,1,202410220BOS,,6.4,-0.1
Jaden Springer,,,,,,,,,,,,,,,,,,,,,,0,1,202410220BOS,,4.0,-0.1
Luke Kornet,19.0,2.0,3.0,0.667,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,6.8,2.0,0,1,202410220BOS,11.55,4.10875,0.10875000000000001
Al Horford,26.0,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,,0.0,3.0,3.0,5.0,1.0,1.0,0.0,2.0,11.0,13.0,19.0,1,1,202410220BOS,26.775000000000002,8.786875,0.28687500000000005
Nickeil Alexander-Walker,28.0,5.0,7.0,0.714,3.0,4.0,0.75,1.0,2.0,0.5,2.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,14.0,11.0,13.0,0,0,202410220LAL,16.5,5.665,0.16500000000000004
Josh Minott,,,,,,,,,,,,,,,,,,,,,,0,0,202410220LAL,,4.0,-0.1
Anthony Edwards,41.0,10.0,25.0,0.4,5.0,13.0,0.385,2.0,3.0,0.667,0.0,6.0,6.0,3.0,0.0,0.0,4.0,3.0,27.0,11.8,0.0,1,0,202410220LAL,21.5,15.8175,-0.1825
Donte DiVincenzo,31.0,3.0,11.0,0.273,2.0,8.0,0.25,2.0,4.0,0.5,1.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,10.0,6.3,-5.0,0,0,202410220LAL,9.25,9.30375,-0.19624999999999998
Rudy Gobert,35.0,5.0,8.0,0.625,0.0,0.0,,3.0,4.0,0.75,3.0,11.0,14.0,2.0,0.0,1.0,1.0,4.0,13.0,13.9,-10.0,1,0,202410220LAL,32.75,14.18875,0.18875000000000008
Luka Garza,,,,,,,,,,,,,,,,,,,,,,0,0,202410220LAL,,4.0,-0.1
Mike Conley,20.0,1.0,7.0,0.143,0.0,5.0,0.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,3.0,1.0,5.0,1.5,-22.0,1,0,202410220LAL,4.5,8.23,-0.27
